Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,ch_age_cat_6_59,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,grains,legumes,dairy,flesh,eggs,vitaminA,other,mdd_ch,formula_times,other_milk_times,yogurt_times,solid_semi_soft_times,mmf_bf_68,mmf_bf_923,solid_semi_soft_milk_times,mmf_nbf_623,mmf_ch,mad_bf_623,milk_feeds_2,mad_nbf_623,mad_ch,stunting_ch,wasting_ch,overweight_ch,chweight
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,0,100,100,100,0,0,,,100,100,0,100,100,100,0,100.0,,,,6.0,0,100,100,0,100.0,100,0,0,100.0,0.0,0.0,0.0,1.2141359776892233
Total,2017,Urban,North,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,0,,0.0,100,0,100,0,100,0,0,0.0,,5.0,,2.0,0,0,100,100,100.0,0,100,0,0.0,0.0,0.0,0.0,1.2141359776892233
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,0,,,100,0,0,0,100,100,0,,,,,2.0,0,0,0,0,,0,0,0,,100.0,0.0,0.0,1.2141359776892233
Total,2017,Urban,North,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,0,,0.0,100,0,100,100,100,0,100,100.0,3.0,,,4.0,0,0,100,100,100.0,0,100,100,100.0,0.0,0.0,0.0,1.180160731877192
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,0,,,100,100,100,100,100,100,100,,,3.0,,4.0,0,0,100,0,,0,100,0,,0.0,0.0,0.0,1.180160731877192
Total,2017,Urban,North,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,0,100,100,100,0,0,,,100,0,100,100,100,100,0,100.0,2.0,,,3.0,0,100,100,0,100.0,100,100,0,100.0,0.0,0.0,0.0,1.180160731877192
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,0,100,100,100,0,0,,,0,0,100,100,100,0,0,0.0,3.0,,,4.0,0,100,100,0,100.0,0,100,0,0.0,0.0,0.0,0.0,1.180160731877192
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,1.180160731877192
Total,2017,Rural,North,Rich,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,100,0,0,100,100,100,0,0,,,100,0,0,0,0,0,0,0.0,,,,5.0,100,0,100,0,100.0,0,0,0,0.0,0.0,0.0,0.0,1.041573801488002
Total,2017,Rural,North,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.041573801488002
Total,2017,Rural,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,100,100,0,0,,100.0,100,0,100,0,100,100,0,100.0,3.0,1.0,,7.0,0,100,100,0,100.0,100,100,0,100.0,0.0,0.0,0.0,1.041573801488002
Total,2017,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,0,,,0,0,0,100,100,0,0,,,,,3.0,0,0,0,0,,0,0,0,,100.0,0.0,0.0,1.0204940630136838
Total,2017,Rural,North,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,100,0,0,,100.0,100,0,100,100,100,100,100,100.0,,2.0,,3.0,0,100,100,0,100.0,100,100,0,100.0,0.0,0.0,0.0,1.0204940630136838
Total,2017,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.0204940630136838
Total,2017,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,100,0,0,,100.0,100,0,100,0,100,100,0,100.0,,3.0,,2.0,0,0,100,0,0.0,0,100,0,0.0,0.0,0.0,0.0,1.0204940630136838
Total,2017,Rural,North,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.0204940630136838
Total,2017,Rural,North,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,100,0,0,,100.0,100,0,100,100,100,100,0,100.0,,1.0,1.0,3.0,0,100,100,0,100.0,100,100,0,100.0,100.0,0.0,0.0,1.0204940630136838
Total,2017,Rural,North,Middle,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,100,0,0,100,100,100,0,0,,,100,0,100,100,0,0,100,100.0,,1.0,,5.0,100,0,100,0,100.0,100,0,0,100.0,0.0,0.0,0.0,1.0204940630136838
Total,2017,Rural,North,Middle,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,1.0204940630136838
Total,2017,Rural,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,1.0204940630136838
Total,2017,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,0,0,,,0,0,0,0,100,100,0,,,,,2.0,0,0,0,0,,0,0,0,,100.0,0.0,0.0,1.0204940630136838
Total,2017,Rural,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,0,100,100,100,0,0,,,100,0,0,0,0,0,0,0.0,,,,3.0,0,100,0,0,100.0,0,0,0,0.0,0.0,0.0,0.0,1.0204940630136838
Total,2017,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,0,,0.0,0,0,100,100,100,100,100,100.0,5.0,,,5.0,0,0,100,100,100.0,0,100,100,100.0,0.0,0.0,0.0,1.1461369490752005
Total,2017,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,100,0,0,,100.0,100,100,0,100,100,100,100,100.0,,,,2.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.1461369490752005
Total,2017,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,1.1461369490752005
Total,2017,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,100,0,0,,100.0,100,0,0,100,100,100,100,100.0,,,,3.0,0,100,0,0,100.0,100,0,0,100.0,100.0,0.0,0.0,1.1461369490752005
Total,2017,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.1461369490752005
Total,2017,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,1.1461369490752005
Total,2017,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,,,,1.1461369490752005
Total,2017,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,1.1461369490752005
Total,2017,Rural,North,Rich,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,1.1461369490752005
Total,2017,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.1461369490752005
Total,2017,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,100,0,0,100,100,100,0,0,,,100,0,0,0,100,100,0,0.0,,,,2.0,100,0,0,0,100.0,0,0,0,0.0,0.0,0.0,0.0,1.1461369490752005
Total,2017,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,100,0,0,0,0,0,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.1461369490752005
Total,2017,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.1461369490752005
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,1.035931473202585
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,100,0,0,0,0,0,100,0,0,0.0,,100,0,100,0,0,0,0,,5.0,,,3.0,0,0,100,0,,0,100,0,,0.0,0.0,100.0,1.035931473202585
Total,2017,Urban,North,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.035931473202585
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,100,0,0,,100.0,100,0,0,0,0,100,100,0.0,,,,2.0,0,0,0,0,0.0,0,0,0,0.0,,100.0,0.0,1.035931473202585
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,1.035931473202585
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.035931473202585
Total,2017,Urban,North,Poor,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,0,,0.0,0,0,0,100,100,100,100,0.0,,,,1.0,0,0,0,0,0.0,0,0,0,0.0,0.0,,,1.1175437216166544
Total,2017,Urban,North,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,0,,,100,0,100,0,100,0,0,,5.0,,,4.0,0,0,100,0,,0,100,0,,0.0,,,1.1175437216166544
Total,2017,Urban,North,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.1175437216166544
Total,2017,Urban,North,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,0,,,0,0,0,100,100,0,0,,,,,5.0,0,0,100,0,,0,0,0,,0.0,0.0,0.0,1.1175437216166544
Total,2017,Urban,North,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,1.1175437216166544
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,100,0,0,,100.0,100,0,100,100,100,0,0,100.0,7.0,3.0,,5.0,0,100,100,0,100.0,100,100,0,100.0,0.0,0.0,0.0,0.9962299996306501
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,0,,,100,0,0,100,100,100,100,,,,,1.0,0,0,0,0,,0,0,0,,0.0,100.0,0.0,0.9962299996306501
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,,,0.9962299996306501
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,100,0,0,0,,,100,0,100,100,0,100,100,,,3.0,,3.0,0,0,100,0,,0,100,0,,0.0,0.0,0.0,0.9962299996306501
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,0.9962299996306501
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,0.9962299996306501
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,0.9962299996306501
Total,2017,Rural,North,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.0885778505922323
Total,2017,Rural,North,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.0885778505922323
Total,2017,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,0,,,100,0,0,100,100,0,100,,,,,4.0,0,0,100,0,,0,0,0,,0.0,0.0,0.0,1.0885778505922323
Total,2017,Rural,North,Poorest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.0885778505922323
Total,2017,Rural,North,Poorest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.0885778505922323
Total,2017,Rural,North,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,0,0,0,,0.0,100,0,0,100,100,100,100,100.0,,,,4.0,0,0,100,100,100.0,0,0,0,0.0,0.0,0.0,0.0,1.0885778505922323
Total,2017,Urban,North,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,0.7812108290665738
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,,,0.7812108290665738
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,0.7812108290665738
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,0.7812108290665738
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,0.7812108290665738
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,0.7812108290665738
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,0,,0.0,100,0,0,0,100,100,0,0.0,,,,1.0,0,0,0,0,0.0,0,0,0,0.0,0.0,100.0,0.0,0.7812108290665738
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,0,,,100,0,100,100,100,100,0,,6.0,,,7.0,0,0,100,0,,0,100,0,,100.0,0.0,0.0,0.8353928671601596
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,0.8353928671601596
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,0.8353928671601596
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,0.8353928671601596
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,0.8353928671601596
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,0,,0.0,100,0,100,100,0,0,100,0.0,5.0,3.0,,4.0,0,0,100,100,100.0,0,100,0,0.0,0.0,0.0,0.0,0.8353928671601596
Total,2017,Urban,North,Richest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,0.8353928671601596
Total,2017,Urban,North,Middle,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,0,0,0,,,100,0,100,100,0,100,0,,,1.0,,3.0,0,0,100,0,,0,0,0,,0.0,0.0,0.0,0.8353928671601596
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,100,0,0,,,100,0,100,100,100,100,100,,,2.0,,3.0,0,0,100,0,,0,100,0,,100.0,0.0,0.0,0.8353928671601596
Total,2017,Rural,North,Poorest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.0514644710706746
Total,2017,Rural,North,Poorest,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,0,100,100,100,0,0,,,100,0,0,100,0,100,0,0.0,,,,3.0,0,100,0,0,100.0,0,0,0,0.0,0.0,0.0,0.0,1.0514644710706746
Total,2017,Rural,North,Poor,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,100,0,0,,100.0,100,0,0,100,100,100,100,100.0,,,,3.0,0,100,0,0,100.0,100,0,0,100.0,0.0,0.0,0.0,1.0514644710706746
Total,2017,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.0514644710706746
Total,2017,Rural,North,Rich,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,0,,0.0,0,0,0,100,100,0,0,0.0,,,,4.0,0,0,100,100,100.0,0,0,0,0.0,100.0,0.0,100.0,1.0514644710706746
Total,2017,Rural,North,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,100,100,100,0,0,0,,0.0,100,100,100,100,100,100,100,100.0,,4.0,,7.0,0,0,100,100,100.0,0,100,100,100.0,,0.0,100.0,1.0514644710706746
Total,2017,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.0514644710706746
Total,2017,Rural,North,Poorest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,0.0,0.0,1.0514644710706746
Total,2017,Rural,North,Poor,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,0.959369418622002
Total,2017,Rural,North,Middle,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,0.0,100.0,0.0,0.959369418622002
Total,2017,Rural,North,Richest,Mon-Khmer,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,100,0,0,100,100,100,0,0,,,100,0,0,100,0,100,0,0.0,,,,2.0,100,0,0,0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.959369418622002
Total,2017,Urban,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,100,100,0,0,,,100,100,100,100,100,100,100,,4.0,,,4.0,0,0,100,0,,0,100,0,,100.0,0.0,0.0,0.8609110873190432
Total,2017,Urban,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,0,,,100,100,100,100,100,100,100,,3.0,,,3.0,0,0,100,0,,0,100,0,,100.0,0.0,0.0,0.8609110873190432
Total,2017,Urban,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,100,0,0,0,0,0,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,0.0,0.8609110873190432
Total,2017,Urban,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,0,,,100,0,0,100,0,100,0,,,,,3.0,0,0,0,0,,0,0,0,,100.0,0.0,100.0,0.8609110873190432
Total,2017,Urban,North,Rich,Lao-Tai,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,100,0,0,,100.0,100,100,100,100,100,100,100,100.0,6.0,6.0,,6.0,0,100,100,0,100.0,100,100,0,100.0,0.0,0.0,0.0,0.8609110873190432
Total,2017,Urban,North,Poorest,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,,100.0,0.0,100.0,0.8609110873190432
Total,2017,Urban,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,0,,,100,0,100,100,100,100,100,,,2.0,,3.0,0,0,100,0,,0,100,0,,100.0,0.0,100.0,0.8609110873190432
Total,2017,Urban,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,0,,0.0,100,0,100,100,100,100,0,100.0,,1.0,,3.0,0,0,100,100,100.0,0,0,0,0.0,100.0,0.0,0.0,0.8609110873190432
Total,2017,Urban,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,0,,0.0,100,0,100,100,0,100,0,0.0,,2.0,,3.0,0,0,100,100,100.0,0,100,0,0.0,,0.0,0.0,0.8609110873190432
Total,2017,Urban,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,100,0,0,0,,,100,0,0,100,0,100,100,,,,,3.0,0,0,0,0,,0,0,0,,100.0,0.0,100.0,0.8609110873190432
Total,2017,Urban,North,Poor,Hmong-Mien,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,100,100,100,100,0,0,0,,0.0,100,0,0,100,0,100,0,0.0,,,,5.0,0,0,100,100,100.0,0,0,0,0.0,100.0,0.0,100.0,0.8609110873190432
